Frame,Sub Frame,"Difference Between Positions - Unlabeled Track (4)➞Unlabeled Track (3)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
555553,0,"0.384061","119.464","-0.895297"
555554,0,"0.515407","119.96","-0.0349409"
555555,0,"0.491816","119.938","-0.053612"
555556,0,"0.719812","119.996","0.432541"
555557,0,"0.47995","119.476","-0.641777"
555558,0,"0.444014","119.449","-0.861993"
555559,0,"0.434773","119.441","-0.848754"
555560,0,"0.382045","119.437","-0.931259"
555561,0,"0.375036","119.448","-0.947493"
555562,0,"0.398735","119.453","-1.015"
555563,0,"0.549968","119.464","-0.60411"
555564,0,"0.502348","119.466","-0.685445"
555565,0,"0.531237","119.956","0.00758411"
555566,0,"0.423167","119.471","-0.832204"
555567,0,"0.369023","119.427","-0.97027"
555568,0,"0.513325","119.471","-0.612388"
555569,0,"0.43383","119.46","-0.858455"
555570,0,"0.431225","119.441","-0.87627"
555571,0,"0.383926","119.448","-0.944672"
555572,0,"0.410539","119.411","-0.953301"
555573,0,"0.402047","119.4","-1.01318"
555574,0,"0.507408","119.417","-0.8225"
555575,0,"0.544532","119.414","-0.826979"
555576,0,"0.527106","119.403","-0.821758"
555577,0,"0.45376","119.454","-0.8045"
555578,0,"0.345539","119.44","-1.00742"
555579,0,"0.430557","119.425","-0.834308"
555580,0,"0.572546","119.944","0.0257589"
555581,0,"0.579015","119.968","0.118534"
555582,0,"0.388225","119.449","-0.908724"
555583,0,"0.413932","119.447","-0.904509"
555584,0,"0.364701","119.425","-1.01409"
555585,0,"0.347207","119.421","-1.06569"
555586,0,"0.60745","119.949","0.127259"
555587,0,"0.503312","119.473","-0.67263"
555588,0,"0.454684","119.47","-0.814125"
555589,0,"0.415045","119.434","-0.848689"
555590,0,"0.349164","119.401","-1.01302"
555591,0,"0.359808","119.417","-0.969294"
555592,0,"0.535498","119.975","0.0266418"
555593,0,"0.495943","119.968","-0.0658613"
555594,0,"0.598816","119.971","0.125886"
555595,0,"0.363164","119.449","-0.938202"
